trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.985, 'e': 0.1319638224186565}",25,3,-23.99829743849124,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.985, 'e': 0.12998436508237665}",25,1,-1.6868758991574166,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.985, 'e': 0.12803459960614103}",25,16,7.440422312609843,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.985, 'e': 0.1261140806120489}",25,8,2.654525944388274,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.985, 'e': 0.12422236940286815}",25,7,32.17005091762978,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.985, 'e': 0.12235903386182513}",20,2,7.839618790188926,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
140,False,"{'a': 0.985, 'e': 0.12052364835389776}",20,12,-26.90202829864711,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.985, 'e': 0.11871579362858929}",25,17,14.212864448234305,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.985, 'e': 0.11693505672416045}",25,7,-9.518390162553583,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
143,False,"{'a': 0.985, 'e': 0.11518103087329803}",25,14,22.613906141007572,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.985, 'e': 0.11345331541019857}",20,15,1.6859093115137864,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.985, 'e': 0.1117515156790456}",25,20,8.950789134384463,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.985, 'e': 0.1100752429438599}",35,13,-4.246558752728551,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.985, 'e': 0.108424114299702}",25,12,23.106878333947776,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.985, 'e': 0.10679775258520648}",25,4,-28.341974389377473,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
149,False,"{'a': 0.985, 'e': 0.10519578629642837}",20,12,18.08212093593098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.985, 'e': 0.10361784950198195}",20,12,17.295666610834168,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.985, 'e': 0.10206358175945221}",20,14,12.2161670667327,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.985, 'e': 0.10053262803306043}",25,18,13.096082061577436,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.985, 'e': 0.09902463861256453}",20,13,13.448603381641135,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.985, 'e': 0.09753926903337605}",20,15,8.177757768098513,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.985, 'e': 0.0960761799978754}",20,10,19.375852057970516,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.985, 'e': 0.09463503729790729}",25,18,15.048417236034346,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.985, 'e': 0.09321551173843867}",30,12,7.08842334457464,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.985, 'e': 0.09181727906236209}",25,14,18.255788772614654,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.985, 'e': 0.09044001987642665}",25,14,20.749859032681243,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.985, 'e': 0.08908341957828025}",20,13,12.728887922212076,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.985, 'e': 0.08774716828460605}",25,17,14.914999639306608,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.985, 'e': 0.08643096076033696}",20,14,1.9172777375857986,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.985, 'e': 0.0851344963489319}",20,11,17.824591379734493,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
